id,nombre,categoria,precio,stock,sku/codigo_barras,imagen_url,activo
p076,Rodillo de madera,Utensilios de cocina,11.99,80,KIT-BRD-WOO-076,https://cdn.dummyjson.com/product-images/kitchen-accessories/wooden-rolling-pin/thumbnail.webp,true
p077,Pelador amarillo,Utensilios de cocina,5.99,35,KIT-BRD-YEL-077,https://cdn.dummyjson.com/product-images/kitchen-accessories/yellow-peeler/thumbnail.webp,true
p078,Apple MacBook Pro 14 pulgadas gris espacial,Laptops,1999.99,24,LAP-APP-APP-078,https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/thumbnail.webp,true
p079,Laptop Asus Zenbook Pro de pantalla dual,Laptops,1799.99,45,LAP-ASU-ASU-079,https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/thumbnail.webp,true
p080,Huawei Matebook X Pro,Laptops,1399.99,75,LAP-HUA-HUA-080,https://cdn.dummyjson.com/product-images/laptops/huawei-matebook-x-pro/thumbnail.webp,true
p081,Lenovo Yoga 920,Laptops,1099.99,40,LAP-LEN-LEN-081,https://cdn.dummyjson.com/product-images/laptops/lenovo-yoga-920/thumbnail.webp,true
p082,Laptop DELL XPS 13 9300,Laptops,1499.99,74,LAP-DEL-DEL-082,https://cdn.dummyjson.com/product-images/laptops/new-dell-xps-13-9300-laptop/thumbnail.webp,true
p083,Camisa a cuadros azul y negra,Ropa,29.99,38,MEN-FAS-BLU-083,https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/thumbnail.webp,true
p084,Remera Gigabyte Aorus para hombre,Ropa,24.99,90,MEN-GIG-GIG-084,https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/thumbnail.webp,true
p085,Camisa a cuadros para hombre,Ropa,34.99,82,MEN-CLA-PLA-085,https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/thumbnail.webp,true
p086,Camisa de manga corta para hombre,Ropa,19.99,2,MEN-CAS-SHO-086,https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/thumbnail.webp,true
p087,Camisa a cuadros de hombre,Ropa,27.99,95,MEN-URB-CHE-087,https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp,true
p088,Nike Air Jordan 1 rojo y negro,Calzado,149.99,7,MEN-NIK-NIK-088,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp,true
p089,Tacos de béisbol Nike,Calzado,79.99,12,MEN-NIK-NIK-089,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/thumbnail.webp,true
p090,Zapatillas Puma Future Rider,Calzado,89.99,90,MEN-PUM-PUM-090,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp,true
p091,Zapatillas deportivas color hueso y rojo,Calzado,119.99,17,MEN-OFF-SPO-091,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/thumbnail.webp,true
p092,Zapatillas deportivas hueso y rojo,Calzado,109.99,62,MEN-OFF-SPO-092,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp,true
p093,Reloj de correa de cuero marrón,Relojes,89.99,32,MEN-FAS-BRO-093,https://cdn.dummyjson.com/product-images/mens-watches/brown-leather-belt-watch/thumbnail.webp,true
p094,Longines Master Collection,Relojes,1499.99,100,MEN-LON-LON-094,https://cdn.dummyjson.com/product-images/mens-watches/longines-master-collection/thumbnail.webp,true
p095,Rolex Cellini Date esfera negra,Relojes,8999.99,40,MEN-ROL-ROL-095,https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-date-black-dial/thumbnail.webp,true
p096,Rolex Cellini Moonphase,Relojes,12999.99,36,MEN-ROL-ROL-096,https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-moonphase/thumbnail.webp,true
p097,Rolex Datejust,Relojes,10999.99,86,MEN-ROL-ROL-097,https://cdn.dummyjson.com/product-images/mens-watches/rolex-datejust/thumbnail.webp,true
p098,Reloj Rolex Submariner,Relojes,13999.99,55,MEN-ROL-ROL-098,https://cdn.dummyjson.com/product-images/mens-watches/rolex-submariner-watch/thumbnail.webp,true
p099,Amazon Echo Plus,Electrónica,99.99,61,MOB-AMA-AMA-099,https://cdn.dummyjson.com/product-images/mobile-accessories/amazon-echo-plus/thumbnail.webp,true
p100,Apple Airpods,Electrónica,129.99,67,MOB-APP-APP-100,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods/thumbnail.webp,true
p101,Apple AirPods Max plateado,Electrónica,549.99,59,MOB-APP-APP-101,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods-max-silver/thumbnail.webp,true
p102,Cargador inalámbrico Apple AirPower,Electrónica,79.99,1,MOB-APP-APP-102,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpower-wireless-charger/thumbnail.webp,true
p103,Apple HomePod Mini gris cósmico,Electrónica,99.99,27,MOB-APP-APP-103,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-homepod-mini-cosmic-grey/thumbnail.webp,true
p104,Cargador para iPhone Apple,Electrónica,19.99,31,MOB-APP-APP-104,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-iphone-charger/thumbnail.webp,true
p105,Batería externa Apple MagSafe,Electrónica,99.99,1,MOB-APP-APP-105,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-magsafe-battery-pack/thumbnail.webp,true
p106,Apple Watch Serie 4 dorado,Electrónica,349.99,33,MOB-APP-APP-106,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-watch-series-4-gold/thumbnail.webp,true
p107,Auriculares inalámbricos Beats Flex,Electrónica,49.99,50,MOB-BEA-BEA-107,https://cdn.dummyjson.com/product-images/mobile-accessories/beats-flex-wireless-earphones/thumbnail.webp,true
p108,Funda de silicona iPhone 12 con MagSafe color ciruela,Electrónica,29.99,69,MOB-APP-IPH-108,https://cdn.dummyjson.com/product-images/mobile-accessories/iphone-12-silicone-case-with-magsafe-plum/thumbnail.webp,true
p109,Monopié,Electrónica,19.99,48,MOB-TEC-MON-109,https://cdn.dummyjson.com/product-images/mobile-accessories/monopod/thumbnail.webp,true
p110,Lámpara para selfies con iPhone,Electrónica,14.99,58,MOB-GAD-SEL-110,https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-lamp-with-iphone/thumbnail.webp,true
p111,Bastón para selfies monopié,Electrónica,12.99,11,MOB-SNA-SEL-111,https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-stick-monopod/thumbnail.webp,true
p112,Pedestal de cámara de estudio de TV,Electrónica,499.99,15,MOB-PRO-STU-112,https://cdn.dummyjson.com/product-images/mobile-accessories/tv-studio-camera-pedestal/thumbnail.webp,true
p113,Motocicleta genérica,Motocicletas,3999.99,34,MOT-GEN-GEN-113,https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/thumbnail.webp,true
p114,Kawasaki Z800,Motocicletas,8999.99,52,MOT-KAW-KAW-114,https://cdn.dummyjson.com/product-images/motorcycle/kawasaki-z800/thumbnail.webp,true
p115,MotoGP CI.H1,Motocicletas,14999.99,10,MOT-MOT-MOT-115,https://cdn.dummyjson.com/product-images/motorcycle/motogp-ci.h1/thumbnail.webp,true
p116,Motocicleta scooter,Motocicletas,2999.99,84,MOT-SCO-SCO-116,https://cdn.dummyjson.com/product-images/motorcycle/scooter-motorcycle/thumbnail.webp,true
p117,Motocicleta deportiva,Motocicletas,7499.99,0,MOT-SPE-SPO-117,https://cdn.dummyjson.com/product-images/motorcycle/sportbike-motorcycle/thumbnail.webp,true
p118,Jabón de manos Attitude Super Leaves,Cuidado personal,8.99,94,SKI-ATT-ATT-118,https://cdn.dummyjson.com/product-images/skin-care/attitude-super-leaves-hand-soap/thumbnail.webp,true
p119,Gel de ducha Olay Ultra Moisture con karité,Cuidado personal,12.99,34,SKI-OLA-OLA-119,https://cdn.dummyjson.com/product-images/skin-care/olay-ultra-moisture-shea-butter-body-wash/thumbnail.webp,true
p120,Loción corporal y facial para hombre Vaseline,Cuidado personal,9.99,95,SKI-VAS-VAS-120,https://cdn.dummyjson.com/product-images/skin-care/vaseline-men-body-and-face-lotion/thumbnail.webp,true
p121,iPhone 5s,Teléfonos inteligentes,199.99,25,SMA-APP-IPH-121,https://cdn.dummyjson.com/product-images/smartphones/iphone-5s/thumbnail.webp,true
p122,iPhone 6,Teléfonos inteligentes,299.99,60,SMA-APP-IPH-122,https://cdn.dummyjson.com/product-images/smartphones/iphone-6/thumbnail.webp,true
p123,iPhone 13 Pro,Teléfonos inteligentes,1099.99,56,SMA-APP-IPH-123,https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/thumbnail.webp,true
p124,iPhone X,Teléfonos inteligentes,899.99,37,SMA-APP-IPH-124,https://cdn.dummyjson.com/product-images/smartphones/iphone-x/thumbnail.webp,true
p125,Oppo A57,Teléfonos inteligentes,249.99,19,SMA-OPP-OPP-125,https://cdn.dummyjson.com/product-images/smartphones/oppo-a57/thumbnail.webp,true
p126,Oppo F19 Pro Plus,Teléfonos inteligentes,399.99,78,SMA-OPP-OPP-126,https://cdn.dummyjson.com/product-images/smartphones/oppo-f19-pro-plus/thumbnail.webp,true
p127,Oppo K1,Teléfonos inteligentes,299.99,55,SMA-OPP-OPP-127,https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/thumbnail.webp,true
p128,Realme C35,Teléfonos inteligentes,149.99,48,SMA-REA-REA-128,https://cdn.dummyjson.com/product-images/smartphones/realme-c35/thumbnail.webp,true
p129,Realme X,Teléfonos inteligentes,299.99,12,SMA-REA-REA-129,https://cdn.dummyjson.com/product-images/smartphones/realme-x/thumbnail.webp,true
p130,Realme XT,Teléfonos inteligentes,349.99,80,SMA-REA-REA-130,https://cdn.dummyjson.com/product-images/smartphones/realme-xt/thumbnail.webp,true
p131,Samsung Galaxy S7,Teléfonos inteligentes,299.99,67,SMA-SAM-SAM-131,https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s7/thumbnail.webp,true
p132,Samsung Galaxy S8,Teléfonos inteligentes,499.99,0,SMA-SAM-SAM-132,https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s8/thumbnail.webp,true
p133,Samsung Galaxy S10,Teléfonos inteligentes,699.99,19,SMA-SAM-SAM-133,https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s10/thumbnail.webp,true
p134,Vivo S1,Teléfonos inteligentes,249.99,50,SMA-VIV-VIV-134,https://cdn.dummyjson.com/product-images/smartphones/vivo-s1/thumbnail.webp,true
p135,Vivo V9,Teléfonos inteligentes,299.99,82,SMA-VIV-VIV-135,https://cdn.dummyjson.com/product-images/smartphones/vivo-v9/thumbnail.webp,true
p136,Vivo X21,Teléfonos inteligentes,499.99,7,SMA-VIV-VIV-136,https://cdn.dummyjson.com/product-images/smartphones/vivo-x21/thumbnail.webp,true
p137,Fútbol americano,Artículos deportivos,19.99,53,SPO-BRD-AME-137,https://cdn.dummyjson.com/product-images/sports-accessories/american-football/thumbnail.webp,true
p138,Pelota de béisbol,Artículos deportivos,8.99,100,SPO-BRD-BAS-138,https://cdn.dummyjson.com/product-images/sports-accessories/baseball-ball/thumbnail.webp,true
p139,Guante de béisbol,Artículos deportivos,24.99,22,SPO-BRD-BAS-139,https://cdn.dummyjson.com/product-images/sports-accessories/baseball-glove/thumbnail.webp,true
p140,Pelota de baloncesto,Artículos deportivos,14.99,75,SPO-BRD-BAS-140,https://cdn.dummyjson.com/product-images/sports-accessories/basketball/thumbnail.webp,true
p141,Aro de baloncesto,Artículos deportivos,39.99,43,SPO-BRD-BAS-141,https://cdn.dummyjson.com/product-images/sports-accessories/basketball-rim/thumbnail.webp,true
p142,Pelota de cricket,Artículos deportivos,12.99,30,SPO-BRD-CRI-142,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-ball/thumbnail.webp,true
p143,Bate de cricket,Artículos deportivos,29.99,98,SPO-BRD-CRI-143,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-bat/thumbnail.webp,true
p144,Casco de cricket,Artículos deportivos,44.99,10,SPO-BRD-CRI-144,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-helmet/thumbnail.webp,true
p145,Wicket de cricket,Artículos deportivos,29.99,25,SPO-BRD-CRI-145,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-wicket/thumbnail.webp,true
p146,Volante de plumas,Artículos deportivos,5.99,95,SPO-BRD-FEA-146,https://cdn.dummyjson.com/product-images/sports-accessories/feather-shuttlecock/thumbnail.webp,true
p147,Pelota de fútbol,Artículos deportivos,17.99,96,SPO-BRD-FOO-147,https://cdn.dummyjson.com/product-images/sports-accessories/football/thumbnail.webp,true
p148,Pelota de golf,Artículos deportivos,9.99,84,SPO-BRD-GOL-148,https://cdn.dummyjson.com/product-images/sports-accessories/golf-ball/thumbnail.webp,true
p149,Hierro de golf,Artículos deportivos,49.99,90,SPO-BRD-IRO-149,https://cdn.dummyjson.com/product-images/sports-accessories/iron-golf/thumbnail.webp,true
p150,Bate de béisbol metálico,Artículos deportivos,29.99,16,SPO-BRD-MET-150,https://cdn.dummyjson.com/product-images/sports-accessories/metal-baseball-bat/thumbnail.webp,true
p151,Pelota de tenis,Artículos deportivos,6.99,28,SPO-BRD-TEN-151,https://cdn.dummyjson.com/product-images/sports-accessories/tennis-ball/thumbnail.webp,true
p152,Raqueta de tenis,Artículos deportivos,49.99,6,SPO-BRD-TEN-152,https://cdn.dummyjson.com/product-images/sports-accessories/tennis-racket/thumbnail.webp,true
p153,Pelota de voleibol,Artículos deportivos,11.99,0,SPO-BRD-VOL-153,https://cdn.dummyjson.com/product-images/sports-accessories/volleyball/thumbnail.webp,true
p154,Gafas de sol negras,Gafas,29.99,60,SUN-FAS-BLA-154,https://cdn.dummyjson.com/product-images/sunglasses/black-sun-glasses/thumbnail.webp,true
p155,Gafas de sol clásicas,Gafas,24.99,1,SUN-FAS-CLA-155,https://cdn.dummyjson.com/product-images/sunglasses/classic-sun-glasses/thumbnail.webp,true
p156,Gafas verdes y negras,Gafas,34.99,24,SUN-FAS-GRE-156,https://cdn.dummyjson.com/product-images/sunglasses/green-and-black-glasses/thumbnail.webp,true
p157,Gafas de fiesta,Gafas,19.99,86,SUN-FAS-PAR-157,https://cdn.dummyjson.com/product-images/sunglasses/party-glasses/thumbnail.webp,true
p158,Gafas de sol,Gafas,22.99,27,SUN-FAS-SUN-158,https://cdn.dummyjson.com/product-images/sunglasses/sunglasses/thumbnail.webp,true
p159,iPad Mini 2021 color luz de estrellas,Electrónica,499.99,47,TAB-APP-IPA-159,https://cdn.dummyjson.com/product-images/tablets/ipad-mini-2021-starlight/thumbnail.webp,true
p160,Samsung Galaxy Tab S8 Plus gris,Electrónica,599.99,62,TAB-SAM-SAM-160,https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-s8-plus-grey/thumbnail.webp,true
p161,Samsung Galaxy Tab blanco,Electrónica,349.99,92,TAB-SAM-SAM-161,https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/thumbnail.webp,true
p162,Vestido azul,Ropa,29.99,52,TOP-BRD-BLU-162,https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp,true
p163,Vestido de verano para niña,Ropa,19.99,43,TOP-BRD-GIR-163,https://cdn.dummyjson.com/product-images/tops/girl-summer-dress/thumbnail.webp,true
